radius,accuracy
0.000,0.23
0.010,0.22
0.020,0.22
0.030,0.22
0.040,0.22
0.050,0.22
0.060,0.22
0.070,0.22
0.080,0.22
0.090,0.22
0.100,0.22
0.110,0.22
0.120,0.22
0.130,0.22
0.140,0.22
0.150,0.22
0.160,0.22
0.170,0.22
0.180,0.22
0.190,0.22
0.200,0.22
0.210,0.22
0.220,0.22
0.230,0.22
0.240,0.22
0.250,0.22
0.260,0.22
0.270,0.22
0.280,0.22
0.290,0.22
0.300,0.21
0.310,0.21
0.320,0.21
0.330,0.21
0.340,0.21
0.350,0.21
0.360,0.21
0.370,0.21
0.380,0.21
0.390,0.21
0.400,0.21
0.410,0.21
0.420,0.21
0.430,0.21
0.440,0.21
0.450,0.21
0.460,0.21
0.470,0.21
0.480,0.21
0.490,0.21
0.500,0.21
0.510,0.21
0.520,0.21
0.530,0.21
0.540,0.21
0.550,0.21
0.560,0.21
0.570,0.21
0.580,0.21
0.590,0.21
0.600,0.21
0.610,0.21
0.620,0.21
0.630,0.21
0.640,0.21
0.650,0.21
0.660,0.21
0.670,0.21
0.680,0.21
0.690,0.21
0.700,0.21
0.710,0.21
0.720,0.21
0.730,0.21
0.740,0.2
0.750,0.2
0.760,0.2
0.770,0.2
0.780,0.2
0.790,0.2
0.800,0.2
0.810,0.2
0.820,0.2
0.830,0.2
0.840,0.2
0.850,0.2
0.860,0.2
0.870,0.2
0.880,0.2
0.890,0.2
0.900,0.2
0.910,0.2
0.920,0.2
0.930,0.2
0.940,0.2
0.950,0.2
0.960,0.2
0.970,0.2
0.980,0.2
0.990,0.2
1.000,0.2
1.010,0.2
1.020,0.2
1.030,0.2
1.040,0.2
1.050,0.2
1.060,0.2
1.070,0.2
1.080,0.2
1.090,0.2
1.100,0.2
1.110,0.2
1.120,0.19
1.130,0.19
1.140,0.19
1.150,0.19
1.160,0.19
1.170,0.19
1.180,0.19
1.190,0.19
1.200,0.19
1.210,0.19
1.220,0.19
1.230,0.19
1.240,0.19
1.250,0.19
1.260,0.19
1.270,0.19
1.280,0.19
1.290,0.19
1.300,0.19
1.310,0.19
1.320,0.19
1.330,0.19
1.340,0.19
1.350,0.19
1.360,0.19
1.370,0.19
1.380,0.19
1.390,0.19
1.400,0.19
1.410,0.19
1.420,0.19
1.430,0.19
1.440,0.19
1.450,0.19
1.460,0.19
1.470,0.19
1.480,0.19
1.490,0.19
1.500,0.19
1.510,0.19
1.520,0.19
1.530,0.19
1.540,0.19
1.550,0.19
1.560,0.19
1.570,0.19
1.580,0.19
1.590,0.19
1.600,0.19
1.610,0.19
1.620,0.19
1.630,0.19
1.640,0.19
1.650,0.19
1.660,0.19
1.670,0.19
1.680,0.19
1.690,0.19
1.700,0.19
1.710,0.19
1.720,0.19
1.730,0.19
1.740,0.19
1.750,0.19
1.760,0.19
1.770,0.19
1.780,0.19
1.790,0.19
1.800,0.19
1.810,0.19
1.820,0.19
1.830,0.18
1.840,0.18
1.850,0.18
1.860,0.18
1.870,0.18
1.880,0.18
1.890,0.18
1.900,0.18
1.910,0.18
1.920,0.18
1.930,0.18
1.940,0.18
1.950,0.18
1.960,0.18
1.970,0.17
1.980,0.17
1.990,0.17
2.000,0.17
2.010,0.17
2.020,0.17
2.030,0.17
2.040,0.17
2.050,0.17
2.060,0.17
2.070,0.17
2.080,0.17
2.090,0.17
2.100,0.17
2.110,0.16
2.120,0.16
2.130,0.16
2.140,0.15
2.150,0.15
2.160,0.15
2.170,0.15
2.180,0.15
2.190,0.15
2.200,0.15
2.210,0.15
2.220,0.15
2.230,0.15
2.240,0.15
2.250,0.15
2.260,0.14
2.270,0.14
2.280,0.14
2.290,0.14
2.300,0.14
2.310,0.14
2.320,0.14
2.330,0.14
2.340,0.14
2.350,0.14
2.360,0.14
2.370,0.14
2.380,0.14
2.390,0.14
2.400,0.14
2.410,0.14
2.420,0.14
2.430,0.14
2.440,0.14
2.450,0.14
2.460,0.14
2.470,0.14
2.480,0.14
2.490,0.14
2.500,0.14
2.510,0.14
2.520,0.14
2.530,0.13
2.540,0.13
2.550,0.13
2.560,0.13
2.570,0.13
2.580,0.13
2.590,0.13
2.600,0.13
2.610,0.13
2.620,0.13
2.630,0.13
2.640,0.13
2.650,0.13
2.660,0.13
2.670,0.13
2.680,0.13
2.690,0.13
2.700,0.13
2.710,0.13
2.720,0.13
2.730,0.13
2.740,0.13
2.750,0.13
2.760,0.13
2.770,0.13
2.780,0.13
2.790,0.12
2.800,0.11
2.810,0.11
2.820,0.11
2.830,0.11
2.840,0.11
2.850,0.11
2.860,0.11
2.870,0.11
2.880,0.11
2.890,0.11
2.900,0.11
2.910,0.11
2.920,0.11
2.930,0.11
2.940,0.11
2.950,0.11
2.960,0.11
2.970,0.11
2.980,0.1
2.990,0.1
3.000,0.1
3.010,0.1
3.020,0.1
3.030,0.1
3.040,0.1
3.050,0.1
3.060,0.08
3.070,0.08
3.080,0.08
3.090,0.08
3.100,0.08
3.110,0.08
3.120,0.07
3.130,0.07
3.140,0.07
3.150,0.07
3.160,0.07
3.170,0.07
3.180,0.07
3.190,0.07
3.200,0.0
3.210,0.0
3.220,0.0
3.230,0.0
3.240,0.0
3.250,0.0
3.260,0.0
3.270,0.0
3.280,0.0
3.290,0.0
3.300,0.0
3.310,0.0
3.320,0.0
3.330,0.0
3.340,0.0
3.350,0.0
3.360,0.0
3.370,0.0
3.380,0.0
3.390,0.0
3.400,0.0
3.410,0.0
3.420,0.0
3.430,0.0
3.440,0.0
3.450,0.0
3.460,0.0
3.470,0.0
3.480,0.0
3.490,0.0
3.500,0.0
3.510,0.0
3.520,0.0
3.530,0.0
3.540,0.0
3.550,0.0
3.560,0.0
3.570,0.0
3.580,0.0
3.590,0.0
3.600,0.0
3.610,0.0
3.620,0.0
3.630,0.0
3.640,0.0
3.650,0.0
3.660,0.0
3.670,0.0
3.680,0.0
3.690,0.0
3.700,0.0
3.710,0.0
3.720,0.0
3.730,0.0
3.740,0.0
3.750,0.0
3.760,0.0
3.770,0.0
3.780,0.0
3.790,0.0
3.800,0.0
3.810,0.0
3.820,0.0
3.830,0.0
3.840,0.0
3.850,0.0
3.860,0.0
3.870,0.0
3.880,0.0
3.890,0.0
3.900,0.0
3.910,0.0
3.920,0.0
3.930,0.0
3.940,0.0
3.950,0.0
3.960,0.0
3.970,0.0
3.980,0.0
3.990,0.0
4.000,0.0
